#line, expected, detected, text
44, en, un, Came broken.
144, en, un, cute
150, en, un, pretty doll!
156, en, un, Love um
158, en, un, Great
163, en, un, xmas gift
164, en, un, great
168, en, un, love it
171, en, un, Great
191, en, un, NICE
200, en, un, Adorable
201, en, un, Christmas  present
205, en, un, Good buy
206, en, un, Good
237, en, un, Good
248, en, un, nice
263, en, un, a+++
266, en, un, very good
273, en, un, OK
275, en, un, Love it
286, en, un, Very good
288, en, un, FUN GAME !!!!
289, en, un, Great
297, en, un, Very nice
298, en, un, good item
303, en, un, Excellent
305, en, un, good
310, en, un, Very cute!!
329, en, un, BUENO..!
339, en, un, cute
353, en, un, :)
364, en, un, A+
375, en, un, Like
401, en, un, Five stars!
415, en, un, xmas gift
428, en, un, cuteeeeee!!
447, en, un, Good
448, en, un, Classic.
457, en, un, thank you
462, en, un, great!
479, en, un, Grwat product
480, en, un, Perfect
481, en, un, terrific
485, en, un, Thanks!
494, en, un, Great
519, en, un, Great
553, en, un, Classic Game
555, en, un, Very good
570, en, un, Great!
576, en, un, Like
587, en, un, Perfect.
609, en, un, Adorable.
611, en, un, terrific
614, en, un, super
626, en, un, classic
643, en, un, It's good
645, en, un, Classic game!
649, en, un, Classic game.
653, en, es, Puen producto
674, en, un, good
676, en, un, Gift
682, en, un, Perfect condition!!!!!!!
693, en, un, Excellent value!
702, en, un, Love it
712, en, un, great
713, en, un, so cute!!!
715, en, un, love it
716, en, un, outstanding
735, en, un, Shopkins
762, en, un, Nice
763, en, un, Cute. Fast delivery
766, en, un, great
767, en, un, junk
777, en, un, Awesome
793, en, un, Great
797, en, un, excellent!
800, en, un, Good qaulity
824, en, un, Great
830, en, un, :)
845, en, un, :)
859, en, un, very good
866, en, un, 
870, en, un, Love it
876, en, un, same classic game
880, en, un, good
901, en, un, Awesome!
909, en, un, great
912, en, un, Fun
913, en, un, good deal
915, en, un, 10/10
932, en, un, Perfect
935, en, un, Perfect.
941, en, un, cute
946, en, un, Excellent family game
951, en, un, Thanks
957, en, un, Nice
989, en, un, Love it
994, en, un, nice
998, en, un, great
1002, en, un, Great
1003, en, un, Good game!
1007, en, un, I like it
1020, en, un, Excellent
1030, en, un, Great
1036, en, un, Good
1038, en, un, Great
1039, en, un, all fine
1054, en, un, Wonderful
1068, en, un, Awesome!
1073, en, un, xmas gift
1082, en, un, Perfect gift
1092, en, un, Very cute!
1100, en, un, really cute!!
1115, en, un, Great!
1128, en, un, love it
1137, en, un, Love it
1159, en, un, good product
1173, en, un, Love it!!
1176, en, un, Excellent product
1186, en, un, fun
1249, en, un, very good
1252, en, un, A+
1254, en, un, Awesome!
1266, en, un, Great
1277, en, un, Great!
1279, en, un, perfect
1280, en, un, Good
1346, en, un, Perfect
1368, en, un, Love them!
1446, en, un, Love her
1448, en, un, Excelente!
1452, en, un, great
1456, en, un, Fun game
1458, en, un, Great, great, great
1463, en, un, Five stars
1464, en, un, Adorable!
1467, en, un, Great
1500, en, un, terrific
1525, en, un, Gift
1529, en, un, This is a blast!
1533, en, un, Muchas gracias!!!
1534, en, un, Excellent product and service.
1535, en, un, Very cute!
1538, en, un, fun game
1542, en, un, fun game
1543, en, un, Fun
1559, en, un, great puzzles
1569, en, un, Perfect!
1589, en, un, Good product
1596, en, un, Nice product.
1608, en, un, Perfect!
1614, en, un, Hard!
1625, en, un, Fun game!
1627, en, un, FUN GAME
1652, en, un, Love them
1660, en, un, Cute
1662, en, un, Awesome
1663, en, un, Happy
1667, en, un, Cute pretzel
1687, en, un, excelente
1722, en, un, very cute
1744, en, un, Very cute excellent
1745, en, un, nice
1752, en, un, Great gift
1754, en, un, Nice
1758, en, un, Like it
1810, en, un, Was a gift.
1845, en, un, Dumb game
1902, en, un, Happy
1903, en, un, good
1917, en, un, really fun!
1921, en, un, fun game
1930, en, un, Junk
2055, en, un, Great
2071, en, un, Super cute!!!!
2073, en, un, Cute Lalaloopsy Baby....fast shipment
2077, en, un, Wonderfull
2079, en, un, Nice doll.
2082, en, un, Mea???????????????????????????????????????????????????????????????????????????????
2084, en, un, Perfect!
2100, en, un, Super
2116, en, un, Love ir
2125, en, un, ok
2134, en, un, Cute
2178, en, un, made a nice xmas gift
2206, en, un, cute
2208, en, un, Good
2213, en, un, A+++++++
2236, en, un, EXCELENT
2259, en, un, Aw
2267, en, un, Excellent
2273, en, un, Excellent
2274, en, un, cute!!
2281, en, un, hate it
2291, en, un, Great!
2322, en, un, Excelente!
2336, en, un, Niece loves her Lalaloopsy I got her! TY!
2398, en, un, Cute
2412, en, un, Good
2413, en, un, yay
2419, en, un, Great!
2442, en, un, love them!!
2443, en, un, Perfect!
2444, en, un, Excellent !!
2472, en, un, Adamaris6
2474, en, un, Love them
2505, en, un, Fun game.

rows: 2504, rowsMismatch: 207
