name,all,cpu
A,1807.1,1805.734
A,1789.554,1788.688
A,1794.837,1792.922
A,1803.303,1801.094
A,1786.165,1785.391
A,1792.709,1791.375
A,1801.758,1800.531
A,1789.103,1787.328
A,1807.391,1805.859
A,1806.547,1805.469
A,1791.019,1789.609
A,1793.834,1792.594
A,1795.364,1794.141
A,1787.777,1786.625
A,1790.043,1788.766
B,1788.899,1787.656
B,1790.236,1788.5
B,1782.901,1781.234
B,1788.301,1786.516
B,1792.965,1791.594
B,1799.047,1797.172
B,1810.074,1808.656
B,1789.519,1788.078
B,1802.695,1800.781
B,1791.804,1790.547
B,1796.105,1794.641
B,1791.668,1789.563
B,1801.049,1799.625
B,1795.523,1793.406
B,1792.577,1790.953
C,1795.195,1793.672
C,1797.004,1795.734
C,1790.97,1789.094
C,1788.896,1787.359
C,1793.613,1792.844
C,1795.841,1794.344
C,1794.258,1792.984
C,1796.643,1794.938
C,1795.419,1793.438
C,1792.043,1790.828
C,1794.947,1793.75
C,1793.378,1792.156
C,1793.079,1791.688
C,1795.418,1794.219
C,1795.888,1794.422
D,1817.819,1815.625
D,1812.759,1811.25
D,1796.674,1794.953
D,1803.738,1801.266
D,1816.026,1814.625
D,1806.654,1804.922
D,1828.625,1826.859
D,1817.171,1815.563
D,1802.037,1800.25
D,1805.04,1803.391
D,1823.823,1822.219
D,1809.204,1807.703
D,1802.84,1801.172
D,1801.741,1800.719
D,1815.684,1813.391
