acl 2.2.52-2
acpid 2.0.21-1
archlinux-keyring 20140220-1
arj 3.10.22-8
attr 2.4.47-1
b43-fwcutter 018-1
bash 4.2.045-5
btrfs-progs 3.12-1
bzip2 1.0.6-5
ca-certificates 20130906-1
coreutils 8.22-2
cpupower 3.13-2
cracklib 2.9.0-2
cronie 1.4.11-1
cryptsetup 1.6.3-2
curl 7.35.0-1
db 5.3.28-1
dbus 1.8.0-1
dbus-glib 0.102-1
device-mapper 2.02.105-1
dhclient 4.2.5.p1-3
dhcpcd 6.2.1-1
dialog 1:1.2_20140219-1
diffutils 3.3-1
dirmngr 1.1.1-2
dmidecode 2.12-2
dmraid 1.0.0.rc16.3-10
dnsmasq 2.68-1
dosfstools 3.0.25-1
e2fsprogs 1.42.9-1
ecryptfs-utils 103-2
efibootmgr 0.6.0.138.1132342-1
efivar 0.7-1
ethtool 1:3.13-1
expat 2.1.0-3
file 5.17-1
filesystem 2013.06-1
findutils 4.4.2-5
fontconfig 2.11.0-1
fontsproto 2.1.2-1
freetype2 2.5.2-1
fuse 2.9.3-2
gawk 4.1.0-2
gcc-libs 4.8.2-8
gdbm 1.11-1
gettext 0.18.3.2-1
glib-networking 2.38.2-1
glib2 2.38.2-1
glibc 2.19-2
gmp 5.1.3-2
gnupg 2.0.22-2
gnutls 3.2.11-1
gpgme 1.4.3-1
gptfdisk 0.8.9-1
grep 2.16-1
groff 1.22.2-5
grub 2.02.beta2-4
gsettings-desktop-schemas 3.10.1-1
gummiboot 43-2
gzip 1.6-1
haveged 1.8-1
hdparm 9.43-2
hwids 20130915.1-1
hwinfo 21.0-1
iana-etc 2.30-4
inetutils 1.9.2-1
intel-ucode 20140122-1
iproute2 3.12.0-1
iptables 1.4.21-1
iputils 20121221-3
ipw2100-fw 1.3-7
ipw2200-fw 3.1-5
jfsutils 1.1.15-4
js 17.0.0-1
kbd 2.0.1-1
kbproto 1.0.6-1
keyboardctl 0.1.5-2
keyutils 1.5.8-1
kmod 16-1
krb5 1.12.1-1
laptop-mode-tools 1.64-1
less 458-1
libarchive 3.1.2-4
libassuan 2.1.1-1
libcap 2.24-1
libdbus 1.8.0-1
libedit 20130601_3.1-1
libevent 2.0.21-3
libffi 3.0.13-4
libfontenc 1.1.2-1
libgcrypt 1.6.1-1
libgpg-error 1.12-1
libgssglue 0.4-2
libice 1.0.8-2
libidn 1.28-2
libjpeg-turbo 1.3.0-4
libksba 1.3.0-1
libldap 2.4.39-1
libmbim 1.6.0-1
libmm-glib 1.2.0-2
libnl 3.2.23-1
libpcap 1.5.3-1
libpipeline 1.2.6-1
libpng 1.6.9-1
libproxy 0.4.11-2
libqmi 1.8.0-1
librpcsecgss 0.19-8
libsasl 2.1.26-7
libsm 1.2.2-2
libsoup 2.44.2-1
libssh2 1.4.3-2
libtasn1 3.4-1
libtirpc 0.2.3-2
libunistring 0.9.3-6
libusb 1.0.18-1
libx11 1.6.2-1
libx86emu 1.1-30
libxau 1.0.8-2
libxcb 1.10-1
libxdmcp 1.1.1-1
libxext 1.3.2-1
libxfont 1.4.7-1
libxml2 2.9.1-5
libxmu 1.1.2-1
libxt 1.1.4-1
licenses 20130203-1
linux-api-headers 3.13.2-1
linux-firmware 20140123.418320b-1
linux310 3.10.30-1
linux310-ndiswrapper 1.59-5
locale-info 2.19-1
logrotate 3.8.7-1
lsb-release 1.4-12
lsof 4.87-2
lvm2 2.02.105-1
lzo2 2.06-3
lzop 1.03-2
man-db 2.6.6-1
man-pages 3.59-1
manjaro-firmware 0.3-1
manjaro-hotfixes 2013.03-1
manjaro-keyring 20140209-1
manjaro-release 0.8.9-1
manjaro-system 20140221-1
mdadm 3.3-2
memtest86+ 5.01-1
mhwd 0.3.3-1
mhwd-catalyst 13.12-4
mhwd-db 0.3.3-1
mhwd-nvidia 331.49-1
mhwd-nvidia-legacy 304.119-1
mkinitcpio 16-2
mkinitcpio-busybox 1.21.1-2
