name,all
A,1789.1029999999998
A,1789.5539999999999
A,1790.043
A,1791.019
A,1792.7089999999998
A,1793.8339999999998
A,1794.8370000000002
A,1795.364
A,1801.7579999999998
A,1803.3029999999999
A,1806.547
B,1788.899
B,1789.519
B,1790.236
B,1791.668
B,1791.8039999999999
B,1792.5770000000002
B,1792.965
B,1795.523
B,1796.105
B,1799.047
B,1801.049
C,1792.043
C,1793.079
C,1793.378
C,1793.6129999999998
C,1794.2579999999998
C,1794.9470000000001
C,1795.195
C,1795.418
C,1795.4189999999999
C,1795.8410000000001
C,1795.888
D,1794.162
D,1794.717
D,1795.568
D,1798.141
D,1798.408
D,1799.355
D,1799.759
D,1802.8670000000002
D,1818.1970000000001
D,1823.475
D,1825.945
E,1794.88
E,1796.259
E,1798.047
E,1798.3229999999999
E,1798.64
E,1798.694
E,1799.868
E,1800.954
E,1801.207
E,1801.4229999999998
E,1806.608
F,1796.3429999999998
F,1797.243
F,1797.513
F,1799.385
F,1800.1370000000002
F,1801.035
F,1801.119
F,1802.9160000000002
F,1803.9489999999998
F,1804.882
F,1805.9189999999999
G,1795.358
G,1797.318
G,1799.46
G,1800.45
G,1803.348
G,1811.86
G,1811.922
G,1814.1429999999998
G,1814.4620000000002
G,1814.796
G,1815.6770000000001
H,1802.037
H,1802.84
H,1803.7379999999998
H,1805.04
H,1806.654
H,1809.204
H,1812.759
H,1815.684
H,1816.026
H,1817.171
H,1817.819
