year,obl,rb
1985,1.84,
1986,1.76,
1987,5.5,
1988,3.2,
1989,19.5,
1990,24.1,
1991,22.7,
1992,36.6,
1993,110.2,
1994,376.6,820.13
1995,317.6,295.49
1996,849.4,601.98
1997,747.8,526.76
1998,953.3,596.76
1999,794.1,524.73
2000,545.5,470.13
2001,521.9,360.7
2002,381.7,316.29
2003,398.3,346.6
2004,554.7,
2005,792.2,
2006,526.7,
2007,664.0,239.23
2008,551.3,250.1
2009,635.9,255.7
2010,546.0,220.0
2011,624.9,192.14
2012,696.1,226.7
2013,789.9,214.62
2014,706.0,205.53
2015,656.9,259.01
2016,747.1,232.9
2017,585.0,198.4
2018,722.9,212.58
