year,obl,rb
1985,22.65,
1986,24.34,
1987,36.2,
1988,39.8,
1989,53.8,
1990,64.9,
1991,58.5,
1992,106.4,
1993,149.2,
1994,162.6,394.87
1995,107.8,226.5
1996,722.6,377.79
1997,607.8,347.42
1998,540.7,379.79
1999,525.9,322.37
2000,380.4,318.9
2001,403.3,291.56
2002,319.8,267.81
2003,294.4,356.8
2004,292.4,
2005,382.5,
2006,329.4,
2007,314.0,179.5
2008,289.0,184.4
2009,283.8,174.8
2010,267.0,160.7
2011,284.7,158.7
2012,318.4,171.2
2013,294.6,164.6
2014,287.4,171.04
2015,289.7,146.8
2016,239.1,185.17
2017,265.6,174.11
2018,273.0,177.5
